Date,Category,Item,Amount Spent ($)
1 Jun 2024,Housing,Rent,1000.00 
3 Jun 2024,Housing,Maintenance,400.00 
2 Jun 2024,Transportation,Gas,50.00 
5 Jun 2024,Transportation,Public Transport,200.00 
1 Jun 2024,Food,Grocery,200.00 
3 Jun 2024,Food,Eating Out,150.00 
1 Jun 2024,Utilities,Electricity,100.00 
3 Jun 2024,Utilities,Water,80.00 
4 Jun 2024,Entertainment,Movie Tickets,40.00 
5 Jun 2024,Entertainment,Restaurant,50.00 
1 Jun 2024,Savings,Transfer to Savings,200.00 
4 Jun 2024,Savings,Investment,250.00 
2 Jun 2024,Miscellaneous,Shopping,100.00 
5 Jun 2024,Housing,Maintenance,200.00 
7 Jun 2024,Food,Groceries,180.00 
8 Jun 2024,Transportation,Taxi,30.00 
6 Jun 2024,Entertainment,Concert Tickets,80.00 
9 Jun 2024,Utilities,Internet,70.00 
10 Jun 2024,Miscellaneous,Gift Purchase,50.00 
11 Jun 2024,Savings,Retirement Fund,300.00 
12 Jun 2024,Food,Dining Out,120.00 
13 Jun 2024,Transportation,Car Maintenance,100.00 
14 Jun 2024,Housing,Insurance,150.00 
15 Jun 2024,Utilities,Gas,60.00 
16 Jun 2024,Entertainment,Theme Park Tickets,70.00 
17 Jun 2024,Savings,Emergency Fund,150.00 
18 Jun 2024,Miscellaneous,Household Supplies,80.00 
19 Jun 2024,Food,Fast Food,50.00 
20 Jun 2024,Transportation,Bus Pass,40.00 
21 Jun 2024,Utilities,Phone,90.00 
22 Jun 2024,Entertainment,Streaming Subscription,20.00 
23 Jun 2024,Savings,Vacation Fund,200.00 
24 Jun 2024,Miscellaneous,Clothing,120.00 
